id,review_tag,why_typical,site_review,title,leetcode_number
16,二分查找（需要退出循环以后才能确定）,本题也不能再循环体内一下子就找到答案。,本题有点难度，有很强的前提条件，可以当做例题学习。,有序矩阵中第 K 小的元素,378
27,链表,链表学习第 1 题。,需要设计清楚修改指针链接的先后顺序，或者使用分治思想、递归实现。,反转链表,206
72,前缀和与哈希表,重点在如何想到使用哈希表。,本题前缀和数组以哈希表的形式出现。,和为 K 的子数组,560
17,二分查找（需要退出循环以后才能确定）,本题是经典的「木棍分割」问题。,可以当做例题学习，搞懂之后可以解决类似的其它问题，例如「力扣」第 875 题：爱吃香蕉的珂珂。这一类问题题目的条件非常苛刻，满足了一定条件才能使用「二分查找」，重点要看清楚题目的关键条件。,分割数组的最大值,410
62,动态规划,,,零钱兑换,322
63,动态规划,,,整数拆分,343
13,二分查找（需要退出循环以后才能确定）,旋转有序数组做这一题就可以了，其它旋转数组的问题在本题的基础上加了很多判别条件。,本质上本题属于「必须退出循环以后才能确定答案」的问题。,寻找旋转排序数组中的最小值,153
25,双指针,双指针典型问题。,题号靠前。理解为什么可以使用「双指针」。,接雨水,42
34,栈、队列,题目描述简单，而且有的可聊，很多面试官爱考。,实际上不会有人这么用，当成一道面试题准备，记住「负负得正」的思路即可。,用队列实现栈,225
35,栈、队列,题目描述简单，而且有的可聊，很多面试官爱考。,实际上不会有人这么用，当成一道面试题准备，记住「负负得正」的思路即可。,用栈实现队列,232
39,树,树的常规、基础问题。,广度优先遍历思路更直接，深度优先遍历有个小细节需要考虑到。,二叉树的最小深度,111
48,回溯算法,题号靠前，题目描述简单。,考察是否学习过算法与数据结构的问题。,全排列,46
29,链表,快慢指针典型问题。,常考问题，解法单一，记住解法即可。,删除链表的倒数第 N 个结点,19
21,滑动窗口,滑动窗口典型问题。,理解为什么可以使用「滑动窗口」。,长度最小的子数组,209
36,队列（单调队列、双端队列）,单调队列就这一题，是非常常见的考题了。,本题像是结合和「栈」（后进先出）和「队列」（先进先出）的特点，因此合适的数据结构是双端队列这种数据结构（头尾都支持添加和删除数据）。,滑动窗口的最大值,239
19,可以在循环体内找到，也可以留到最后。,题号靠前，比较经典的问题，有小概率会考到。,思想简单，找到单调性。编码较复杂，是一个比较好的练习。,寻找两个正序数组的中位数,4
30,链表,快慢指针典型问题。,常考问题，解法单一，记住解法即可。,环形链表,141
3,二分查找（退出循环以后才能得到答案）,本题如果是套模板做，很可能能做对，但不能说清楚为什么代码这么写。,本题问题的本质是「必须退出循环以后才能确定答案」（区别与「可以在循环体内一下子找到答案」）。,搜索插入位置,35
11,二分查找（需要退出循环以后才能确定）,如果乱套模板，会把代码写得很「乱」。,本质上本题属于「必须退出循环以后才能确定答案」的问题。,在排序数组中查找元素的第一个和最后一个位置,34
23,双指针,双指针典型问题。,先理解「力扣」第 167 题，再做本题。,三数之和,15
44,二叉搜索树,本题描述简单，且考查知识点简单直接。,写法挺多的，在面试、笔试前需要练习。,二叉搜索树中第 k 小的元素,230
54,动态规划,题号靠前，动态规划经典问题。,需定义清楚状态，边界条件的讨论也需要注意。,三角形最小路径和,120
67,动态规划,,,打家劫舍 III,337
57,动态规划,动态规划经典问题，学习动态规划基本都会学习到这道问题。,O(n log n) 解法需要描述清楚状态。,最长上升子序列,300
64,动态规划,,,最大正方形,221
18,二分查找（需要退出循环以后才能确定）,本题类似「力扣」第 410 题，先搞懂那道问题再做本题思路就很清楚了。,虽然经常被归为「最大值极小化」问题，但本质上还是查找一个整数、查找最值，所以可以使用「二分查找」。,爱吃香蕉的珂珂,875
43,树,树的基础问题，且有话题性（说是 homebrew 的作者面试的时候也没有做出来，我觉得这太正常了，也不能说明什么）。,用遍历，深度优先遍历或者广度优先遍历。,翻转二叉树,226
42,深度优先遍历、广度优先遍历,常考问题，题目描述简单。,树的问题基本上不是深度优先遍历，就是广度优先遍历。本题代码编码并不容易，面试笔试前需要练习。,二叉树的序列化与反序列化,297
41,后序遍历,题目描述简单，并且相对容易筛选出是否学习过算法与数据结构。,结合公共祖先的定义，应该向上看，向上看就是「后序遍历」。如果硬从代码本身来记，会记成递归，就比较难记。,二叉树的最近公共祖先,236
45,哈希表、「力扣」第一题,「力扣」第一题，描述简单。,如果没有学习过哈希表，不知道哈希表数据结构，本题很难以 O(n) 复杂度实现。,两数之和,1
58,动态规划,经典动态规划问题。,和「力扣」第 53 题（最大子段和）类似状态定义。,乘积最大子序列,152
52,回溯算法,题号靠前，描述简单。,根据 3 个规则，已经放好的皇后位置需要记录下来。,N 皇后,51
59,动态规划,,,解码方法,91
60,动态规划,,,单词拆分,139
,,,,,
,,,,,
