id,leetcode_number,title,learning_tip
107,962,最大宽度坡,null
127,199,二叉树的右视图,null
42,410,分割数组的最大值,null
85,148,排序链表,null
172,202,快乐数,null
129,107,二叉树的层序遍历 II,null
37,1095,山脉数组中查找目标值,null
247,343,整数拆分,null
249,435,无重叠区间,null
293,312,戳气球,null
30,744,寻找比目标字母大的最小字母,null
261,70,爬楼梯,null
197,765,情侣牵手,null
274,322,零钱兑换,null
296,543,二叉树的直径,null
275,343,整数拆分,null
184,36,有效的数独,null
65,92,反转链表 II,null
177,448,找到所有数组中消失的数字,null
22,74,二维矩阵的搜索,"把有序数组放在了一个表格中。

本题考查了「二维表格坐标」和「一维数组下标」之间的转换关系，其实还是「力扣」第 704 题。"
33,153,寻找旋转排序数组中的最小值,null
51,567,字符串的排列,null
59,42,接雨水,null
254,45,跳跃游戏 II,null
98,42,接雨水,null
292,516,最长回文子序列,null
110,225,用队列实现栈,null
111,232,用栈实现队列,null
105,901,股票价格跨度,null
106,907,子数组的最小值之和,null
109,456,132 模式,null
99,224,基本计算器,null
256,561,数组拆分,null
298,474,一和零,null
95,946,验证栈序列,null
108,402,移掉 K 位数字,null
104,581,最短无序连续子数组,null
125,111,二叉树的最小深度,null
132,101,对称二叉树,null
135,112,路径总和,null
226,46,全排列,null
78,19,删除链表的倒数第 N 个结点,null
126,129,求根结点到叶结点数字之和,null
47,209,长度最小的子数组,null
76,25,K 个一组翻转链表,null
217,994,腐烂的橘子,null
45,4,寻找两个正序数组的中位数,null
29,278,第一个错误的版本,null
133,257,二叉树的所有路径,null
48,713,乘积小于 K 的子数组,null
52,424,替换后的最长重复字符,null
302,518,零钱兑换 II,null
54,1004,最大连续 1 的个数 III,null
55,1493,删掉一个元素以后全为 1 的最长子数组,null
138,222,完全二叉树的结点个数,null
209,523,连续的子数组和,null
77,138,复制带随机指针的链表,null
81,141,环形链表,null
72,82,删除排序链表中的重复元素 II,null
74,328,奇偶链表,null
79,876,链表的中间结点,null
188,743,网络延迟时间,null
89,460,LFU 缓存,null
23,367,有效的完全平方数,本题属于「查找一个有范围的整数」，因此可以使用「二分查找」。
44,1011,在 D 天内送达包裹的能力,null
134,404,左叶子之和,null
26,35,搜索插入位置,"本题是非常典型的「必须要退出循环以后才能确定答案」的问题。

不管我们用的什么二分查找的模板，都逃不开「必须要退出循环以后才能确定答案」，这一点是问题本身决定的。

因此本站并不提倡大家背代码模板，对模板的错误理解和应用，容易导致思维混乱，逻辑冲突。"
27,34,在排序数组中查找元素的第一个和最后一个位置,null
121,451,根据字符出现频率排序,null
57,15,三数之和,null
61,977,有序数组的平方,null
157,230,二叉搜索树中第 k 小的元素,null
300,1049,最后一块石头的重量 II,null
84,143,重排链表,null
114,239,滑动窗口的最大值,null
262,120,三角形最小路径和,null
299,494,目标和,null
294,337,打家劫舍 III,null
189,778,水位上升的泳池中游泳,null
277,413,等差数列划分,null
194,130,被围绕的区域,null
192,684,冗余连接,null
196,778,水位上升的泳池中游泳,null
162,220,存在重复元素 III,null
268,300,最长上升子序列,null
285,221,最大正方形,null
159,449,序列化和反序列化二叉搜索树,null
199,208,实现 Trie,null
202,648,单词替换,null
43,875,爱吃香蕉的珂珂,null
122,973,最接近原点的 k 个点,null
160,235,二叉搜索树的最近公共祖先,null
139,563,二叉树的坡度,null
146,226,翻转二叉树,null
150,297,二叉树的序列化与反序列化,null
144,590,N 叉树的后序遍历,null
152,701,二叉搜索树中的插入操作,null
149,236,二叉树的最近公共祖先,null
156,450,删除二叉搜索树中的结点,null
164,705,设计哈希集合,null
181,532,数组中的 k-diff 数对,null
248,455,分发饼干,null
176,442,数组中重复的数据,null
171,1,两数之和,null
243,52,N 皇后 II,null
238,733,图像渲染,null
224,310,最小高度树,null
282,188,买卖股票的最佳时机 IV,null
269,152,乘积最大子序列,null
229,40,组合总和 II,null
272,96,不同的二叉搜索树,null
244,529,扫雷游戏,null
228,39,组合总和,null
242,51,N 皇后,null
236,17,电话号码的字母组合,null
259,861,翻转矩阵后的得分,null
251,56,合并区间,null
270,91,解码方法,null
279,377,组合总和 Ⅳ,null
271,139,单词拆分,null
